Genomic bins	17119-05-25-243200085	17119-05-08-243200071	17119-05-35-243200067	17119-05-33-243200064	17119-05-16-243200072	17119-05-04-243200101	17119-05-28-243200078	17119-05-01-243200068	17119-05-38-243200077	17119-05-32-243200092	17119-05-15-243200093	17119-05-36-243200079	17119-05-02-243200066	17119-05-23-243200073	17119-05-12-243200081	17119-05-22-243200094	17119-05-20-243200063	17119-05-26-243200098	17119-05-30-243200082	17119-05-14-243200089	17119-05-06-243200069	17119-05-09-243200070	17119-05-13-243200076	17119-05-05-243200087	17119-05-07-243200099	17119-05-40-243200090	17119-05-11-243200091	17119-05-21-243200075	17119-05-27-243200083	17119-05-37-243200074	17119-05-24-243200088	17119-05-34-243200097	17119-05-31-243200080	17119-05-19-243200062	17119-05-18-243200100	17119D-05-29-243200065	17119-05-39-243200084	17119-05-10-243200096	17119-05-17-243200086	17119-05-03-243200095
sinASSsinBIN_bin.272	0.0	0.389504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066756	0.0	5.222782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058645	0.0	0.0	0.0
sinASSsinBIN_bin.69	1.436634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37957	0.0	0.0	0.0	0.645747	0.0	0.0	0.0	7.751174	0.0	0.0	0.0	0.0	0.0	0.0
sinASSsinBIN_bin.425	0.030114	2.5e-05	0.0	0.0	0.0	0.0	0.020831	0.0	0.0	0.000505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.084007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.484677	0.0	5.4000000000000005e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.106785	0.0	7e-06	0.0
sinASSsinBIN_bin.200	0.0	0.01443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.497653	0.0	1.117264	0.0	0.0	0.0	0.0	0.046716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.632969	0.0	0.0	0.0	0.0	0.0	0.6971	0.685023	0.0	0.0	0.0	0.587461	0.0	0.0	0.0
sinASSsinBIN_bin.152	0.0	0.0	0.0	1.69619	0.123336	0.0	0.029053	0.0	0.048454	0.497986	0.040087	0.0	0.0	0.039257	0.577385	0.0	0.0	0.0	0.156167	67.954623	0.00239	0.039658	0.058105	0.010625	0.0	0.0253835	0.023304	0.0	6.637045	0.015103	1.137736	0.0	0.033837	0.007391	0.0	0.017629	0.004739	0.01469	0.0	0.0
sinASSsinBIN_bin.241	0.0	0.0	0.039381	0.03899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.524192	0.0	0.0	0.0	0.078291	0.0	0.049162	0.0	0.0	0.0	0.0	1.056573	0.0	0.0	0.0
sinASSsinBIN_bin.564	0.0	4.232716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.347839	0.0	0.0	0.353939	0.0	0.0	0.0	0.0
sinASSsinBIN_bin.99	0.025184	0.0	0.065355	0.0	0.0	0.0	0.207881	0.0	0.0	0.055216	0.374027	0.18898	0.0	0.076831	1.525096	0.020527	0.337546	0.015649	0.0	0.006721	0.056323	0.042809	0.0	0.0	0.0	0.021944	0.019039	0.096593	0.0	0.016484	0.037715	0.065609	0.107121	0.040516	37.756914	0.011686	0.005152	0.0	0.10247	0.126141
sinASSsinBIN_bin.344	0.001257	7.897689	131.628808	34.237341	1.9e-05	0.179064	0.0	1.3e-05	0.0512	10.360575	5.3e-05	0.095644	3.8e-05	11.99416	0.0	0.0	0.002677	0.54583	0.024878	18.406577	0.00027	7e-06	1e-05	52.493302	0.000191	0.005047	0.42686	0.004615	0.042904	41.63572	0.000323	0.01457	0.0	4.766699	0.0	14.710584	0.390735	0.0	0.000703	0.073788
sinASSsinBIN_bin.204	0.0	1.043533	0.0	0.0	8.233139	0.0	0.0	0.0	0.0	0.0	0.0	2.443734	0.0	0.0	3.99805	0.0	0.0	0.0	0.0	0.0	0.460364	0.0	0.0	0.0	0.0	0.0	0.0	1.705087	0.0	0.059424	0.0	0.0	41.244485	0.0	0.0	0.055809	0.00656	0.0	0.009594	0.0
sinASSsinBIN_bin.113	0.0	0.0	0.021587	0.041845	0.0	0.0	0.060019	0.0	0.0	1.125149	0.0	0.165176	0.0	0.189005	0.0	0.0	0.0	0.054266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.736252	0.0	0.0	0.0	0.050843	0.0	0.224491	0.0	0.0	0.0	0.0	0.78732	0.0	0.077376	0.0
sinASSsinBIN_bin.414	0.0	0.0	0.040045	0.031171	0.0	0.0	0.0	0.0	0.008078	0.0	0.0	0.032459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.245393	0.0	0.0	0.0	0.057357	0.0	0.048336	0.0	0.0	0.0	0.0	1.295324	0.0	0.0	0.0
sinASSsinBIN_bin.513	0.08995	0.341926	0.845753	0.0	0.0	0.0	0.017747	0.0	0.0	0.339938	0.912799	26.216128	0.0	0.0	0.401862	0.0	0.979846	0.813543	0.0	0.0	0.295266	0.681544	0.0	0.014016	0.0	0.48226	0.188879	0.0	0.0	1.639648	0.0	1.7345865	2.821957	0.03442	0.0	0.049908	0.0	0.0	0.0	0.0
sinASSsinBIN_bin.216	0.034843	0.038055	0.0	0.167648	0.0	0.006111	35.975386	0.0	0.0	0.004289	0.0	0.105406	0.0	0.0	0.0	0.0	0.0	0.030023	0.011427	0.0	0.0	0.0	0.0	0.0	0.0	0.144092	0.0	0.03313	0.073403	0.025909	0.0	0.0	0.012584	0.026331	0.0	0.0	0.332383	0.0	0.0	0.0
