""	"17119-05-33-243200064"	"17119-05-40-243200090"	"17119-05-06-243200069"	"17119-05-09-243200070"	"17119-05-15-243200093"	"17119-05-18-243200100"	"17119-05-20-243200063"	"17119-05-28-243200078"	"17119-05-31-243200080"	"17119-05-34-243200097"	"17119-05-36-243200079"	"17119-05-39-243200084"	"17119-05-14-243200089"	"17119-05-17-243200086"	"17119-05-23-243200073"	"17119-05-26-243200098"	"17119-05-35-243200067"	"17119-05-37-243200074"	"17119D-05-29-243200065"	"REF_GCF_003795065"	"REF_GCF_003971565"
"g008615"	0	1	1	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0
"g008790"	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008791"	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008821"	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
"g008847"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008914"	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0
"g008941"	0	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
"g008950"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008963"	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g009002"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0
"g009036"	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0
"g009045"	0	1	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
"g009047"	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0
"g009136"	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
"g009172"	1	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0
"g009175"	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
"g009224"	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	0
"g009236"	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0
"g009242"	1	1	0	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0
"g009281"	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0
"g009432"	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g009478"	1	0	0	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	0	0
"g009480"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g009481"	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g009482"	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
"g009485"	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0
"g009503"	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0
"g009511"	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	1	1
"g009579"	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0
"g009582"	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g009660"	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
"g009662"	0	0	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
"g009665"	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"g009667"	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g009668"	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g009706"	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0
"g009714"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g009716"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g009745"	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0
"g009747"	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0
"g009790"	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0
"g009872"	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
"g009885"	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	0
"g009890"	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g009971"	1	1	0	1	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0
"g010028"	0	1	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
"g010062"	1	0	0	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	0	0
"g010124"	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0
"g010125"	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0
"g010151"	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
"g010154"	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0
"g010158"	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0
"g010173"	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g010174"	0	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
"g010175"	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
"g010176"	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
"g010278"	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
"g010279"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g010319"	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
"g010343"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g010344"	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0
"g010353"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g010376"	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0
"g010454"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g010460"	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0
"g010619"	1	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
"g010620"	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0
"g010786"	1	0	0	0	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0
"g011050"	1	1	1	1	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0
"g011059"	1	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0
"g011111"	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0
"g011129"	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1
"g011257"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g011553"	0	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
"g011560"	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"g011618"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g011620"	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
"g011696"	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0
"g011717"	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"g011773"	0	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
"g011788"	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
